transaction_date,invoice_number,customer_name,customer_code,product_name,product_code,quantity,unit_price,total_amount,territory,sales_channel,business_unit,currency
2026-01-17,INV-10001,Sam Ash Music,CUST-006,USB Microphone UM-50,UM-50,19,89.99,1709.81,US East,Wholesale,Audio Division,USD
2026-01-05,INV-10002,Best Buy Electronics,CUST-001,Wireless Headphones WH-100,WH-100,5,149.99,749.95,North America,Direct,Consumer Electronics,USD
2026-01-15,INV-10003,Musician Friend,CUST-007,Audio Interface AI-400,AI-400,41,399.99,16399.59,US West,Online,Consumer Electronics,USD
2026-01-03,INV-10004,Musician Friend,CUST-007,Wireless Headphones WH-100,WH-100,39,149.99,5849.61,US Central,Wholesale,Pro Audio,USD
2026-01-27,INV-10005,Musician Friend,CUST-007,Pop Filter PF-5,PF-5,38,19.99,759.62,Canada,Wholesale,Pro Audio,USD
2026-01-19,INV-10006,Guitar Center,CUST-002,USB Microphone UM-50,UM-50,8,89.99,719.92,Canada,Online,Audio Division,USD
2026-01-08,INV-10007,Adorama Pro,CUST-008,Boom Arm BA-20,BA-20,29,59.99,1739.71,Latin America,Retail,Consumer Electronics,USD
2026-01-21,INV-10008,B&H Photo Video,CUST-005,Studio Monitor SM-200,SM-200,36,299.99,10799.64,US East,Distributor,Audio Division,USD
2026-01-24,INV-10009,Sweetwater Sound,CUST-003,Acoustic Panel AP-4,AP-4,39,79.99,3119.61,US Central,Retail,Audio Division,USD
2026-01-13,INV-10010,B&H Photo Video,CUST-005,DAC Converter DC-100,DC-100,27,199.99,5399.73,Latin America,Distributor,Audio Division,USD
2026-01-24,INV-10011,Sam Ash Music,CUST-006,Mixer Board MB-16,MB-16,22,549.99,12099.78,Canada,Retail,Audio Division,USD
2026-01-16,INV-10012,Sweetwater Sound,CUST-003,USB Microphone UM-50,UM-50,14,89.99,1259.86,North America,Distributor,Pro Audio,USD
2026-01-19,INV-10013,Musician Friend,CUST-007,Audio Interface AI-400,AI-400,26,399.99,10399.74,North America,Retail,Pro Audio,USD
2026-01-17,INV-10014,Best Buy Electronics,CUST-001,Boom Arm BA-20,BA-20,17,59.99,1019.83,US East,Direct,Audio Division,USD
2026-01-14,INV-10015,B&H Photo Video,CUST-005,Wireless Headphones WH-100,WH-100,46,149.99,6899.54,North America,Distributor,Pro Audio,USD
2026-01-23,INV-10016,B&H Photo Video,CUST-005,USB Microphone UM-50,UM-50,49,89.99,4409.51,North America,Direct,Audio Division,USD
2026-01-09,INV-10017,Guitar Center,CUST-002,USB Microphone UM-50,UM-50,45,89.99,4049.55,US West,Online,Consumer Electronics,USD
2026-01-12,INV-10018,B&H Photo Video,CUST-005,DAC Converter DC-100,DC-100,34,199.99,6799.66,Canada,Retail,Consumer Electronics,USD
