contract_id,transaction_id,transaction_date,partner_name,territory,channel,product_id,product_name,product_category,quantity,unit_price,gross_invoice_amount,returns_credits,freight_shipping,sales_tax,promotional_discounts_mdf,qualifying_net_sales,currency,notes
CTR-TSD-2025,TSD-TXN-001,2025-01-08,Summit Distribution LLC,United States,National Distributor,TS-HD-060,TechSound HD-60 Wireless Headphones,Headphones,220,79.99,17597.80,0.00,350.00,0.00,350.00,16897.80,USD,Q1 opening order
CTR-TSD-2025,TSD-TXN-002,2025-01-15,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,80,199.99,15999.20,0.00,400.00,0.00,0.00,15599.20,USD,
CTR-TSD-2025,TSD-TXN-003,2025-01-22,Summit Distribution LLC,United States,National Distributor,TS-SP-200,TechSound SP-200 Home Speaker,Speakers,100,129.99,12999.00,500.00,280.00,0.00,0.00,12219.00,USD,Returns: 4 defective units
CTR-TSD-2025,TSD-TXN-004,2025-01-29,Summit Distribution LLC,United States,National Distributor,TS-AC-10,TechSound Premium Cable Pack (3-pack),Accessories,350,19.99,6996.50,0.00,120.00,0.00,0.00,6876.50,USD,
CTR-TSD-2025,TSD-TXN-005,2025-02-05,Summit Distribution LLC,United States,National Distributor,TS-HD-EL200,TechSound HD-Elite 200 Noise-Canceling Headphones,Headphones,150,149.99,22498.50,600.00,450.00,0.00,450.00,20998.50,USD,Returns: customer order correction; Q1 MDF credit applied
CTR-TSD-2025,TSD-TXN-006,2025-02-12,Summit Distribution LLC,United States,National Distributor,TS-SB-650,TechSound SB-650 3.1 Dolby Atmos Soundbar,Soundbars,55,349.99,19249.45,0.00,550.00,0.00,0.00,18699.45,USD,
CTR-TSD-2025,TSD-TXN-007,2025-02-19,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Bluetooth Speaker,Speakers,150,79.99,11998.50,0.00,250.00,0.00,0.00,11748.50,USD,
CTR-TSD-2025,TSD-TXN-008,2025-02-26,Summit Distribution LLC,United States,National Distributor,TS-ECK-100,TechSound Ear Cushion Kit,Components,200,18.99,3798.00,0.00,80.00,0.00,0.00,3718.00,USD,Consumables replenishment
CTR-TSD-2025,TSD-TXN-009,2025-03-06,Summit Distribution LLC,United States,National Distributor,TS-HD-PRO80,TechSound HD-Pro 80 Over-Ear Headphones,Headphones,190,89.99,17098.10,0.00,360.00,0.00,300.00,16438.10,USD,Price protection credit applied
CTR-TSD-2025,TSD-TXN-010,2025-03-12,Summit Distribution LLC,United States,National Distributor,TS-HAB-100,TechSound Home Audio Bundle (SB-200 + SP-100),Bundles,45,199.99,8999.55,0.00,400.00,0.00,200.00,8399.55,USD,Spring bundle program
CTR-TSD-2025,TSD-TXN-011,2025-03-19,Summit Distribution LLC,United States,National Distributor,TS-SP-200,TechSound SP-200 Home Speaker,Speakers,110,129.99,14298.90,500.00,300.00,0.00,0.00,13498.90,USD,Returns: 4 units damaged in transit
CTR-TSD-2025,TSD-TXN-012,2025-03-27,Summit Distribution LLC,United States,National Distributor,TS-CD-30,TechSound Wireless Charging Dock,Accessories,300,39.99,11997.00,0.00,200.00,0.00,0.00,11797.00,USD,Spring accessories order
CTR-TSD-2025,TSD-TXN-013,2025-04-03,Summit Distribution LLC,United States,National Distributor,TS-HD-EL200,TechSound HD-Elite 200 Noise-Canceling Headphones,Headphones,180,149.99,26998.20,750.00,500.00,0.00,500.00,25248.20,USD,Returns: 5 units; MDF credit Q2
CTR-TSD-2025,TSD-TXN-014,2025-04-10,Summit Distribution LLC,United States,National Distributor,TS-SB-200,TechSound SB-200 2.0 Soundbar,Soundbars,55,129.99,7149.45,0.00,200.00,0.00,0.00,6949.45,USD,
CTR-TSD-2025,TSD-TXN-015,2025-04-17,Summit Distribution LLC,United States,National Distributor,TS-SP-500,TechSound SP-500 Studio Monitor Speaker,Speakers,70,249.99,17499.30,0.00,380.00,0.00,350.00,16769.30,USD,New SKU introduction discount
CTR-TSD-2025,TSD-TXN-016,2025-04-24,Summit Distribution LLC,United States,National Distributor,TS-CC-50,TechSound Carrying Case,Accessories,200,29.99,5998.00,0.00,100.00,0.00,0.00,5898.00,USD,
CTR-TSD-2025,TSD-TXN-017,2025-05-07,Summit Distribution LLC,United States,National Distributor,TS-HD-PRO80,TechSound HD-Pro 80 Over-Ear Headphones,Headphones,250,89.99,22497.50,0.00,480.00,0.00,400.00,21617.50,USD,Memorial Day promo order
CTR-TSD-2025,TSD-TXN-018,2025-05-14,Summit Distribution LLC,United States,National Distributor,TS-SB-650,TechSound SB-650 3.1 Dolby Atmos Soundbar,Soundbars,65,349.99,22749.35,600.00,600.00,0.00,0.00,21549.35,USD,Returns: 2 units; freight separately invoiced
CTR-TSD-2025,TSD-TXN-019,2025-05-21,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Bluetooth Speaker,Speakers,130,79.99,10398.70,0.00,220.00,0.00,0.00,10178.70,USD,
CTR-TSD-2025,TSD-TXN-020,2025-05-28,Summit Distribution LLC,United States,National Distributor,TS-PRO-200,TechSound Pro Studio Bundle (HD-Elite + SP-500),Bundles,30,349.99,10499.70,0.00,350.00,0.00,0.00,10149.70,USD,Bundle reorder
CTR-TSD-2025,TSD-TXN-021,2025-06-04,Summit Distribution LLC,United States,National Distributor,TS-HD-060,TechSound HD-60 Wireless Headphones,Headphones,200,79.99,15998.00,0.00,340.00,0.00,0.00,15658.00,USD,Summer floor stock replenishment
CTR-TSD-2025,TSD-TXN-022,2025-06-11,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,70,199.99,13999.30,400.00,380.00,0.00,300.00,12919.30,USD,Returns: 2 units; price protection credit
CTR-TSD-2025,TSD-TXN-023,2025-06-18,Summit Distribution LLC,United States,National Distributor,TS-SP-200,TechSound SP-200 Home Speaker,Speakers,110,129.99,14298.90,0.00,300.00,0.00,0.00,13998.90,USD,
CTR-TSD-2025,TSD-TXN-024,2025-06-24,Summit Distribution LLC,United States,National Distributor,TS-HAB-100,TechSound Home Audio Bundle (SB-200 + SP-100),Bundles,50,199.99,9999.50,0.00,400.00,0.00,200.00,9399.50,USD,Summer bundle promo
CTR-TSD-2025,TSD-TXN-025,2025-06-30,Summit Distribution LLC,United States,National Distributor,TS-AC-10,TechSound Premium Cable Pack (3-pack),Accessories,350,19.99,6996.50,0.00,120.00,0.00,150.00,6726.50,USD,MDF co-op credit
CTR-TSD-2025,TSD-TXN-026,2025-07-09,Summit Distribution LLC,United States,National Distributor,TS-SPORT-B,TechSound Sport Buds Pro,Headphones,200,59.99,11998.00,0.00,250.00,0.00,0.00,11748.00,USD,Back-to-school early buy
CTR-TSD-2025,TSD-TXN-027,2025-07-16,Summit Distribution LLC,United States,National Distributor,TS-SB-200,TechSound SB-200 2.0 Soundbar,Soundbars,100,129.99,12999.00,0.00,300.00,0.00,250.00,12449.00,USD,Trade show display discount
CTR-TSD-2025,TSD-TXN-028,2025-07-23,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Bluetooth Speaker,Speakers,120,79.99,9598.80,0.00,200.00,0.00,0.00,9398.80,USD,
CTR-TSD-2025,TSD-TXN-029,2025-07-30,Summit Distribution LLC,United States,National Distributor,TS-PRO-200,TechSound Pro Studio Bundle (HD-Elite + SP-500),Bundles,50,349.99,17499.50,600.00,450.00,0.00,400.00,16049.50,USD,Returns: 2 units; MDF discount applied
CTR-TSD-2025,TSD-TXN-030,2025-08-06,Summit Distribution LLC,United States,National Distributor,TS-HD-EL200,TechSound HD-Elite 200 Noise-Canceling Headphones,Headphones,150,149.99,22498.50,600.00,480.00,0.00,400.00,21018.50,USD,Back-to-school push; returns and MDF
CTR-TSD-2025,TSD-TXN-031,2025-08-13,Summit Distribution LLC,United States,National Distributor,TS-SB-650,TechSound SB-650 3.1 Dolby Atmos Soundbar,Soundbars,55,349.99,19249.45,0.00,500.00,0.00,0.00,18749.45,USD,Premium soundbar restocking
CTR-TSD-2025,TSD-TXN-032,2025-08-20,Summit Distribution LLC,United States,National Distributor,TS-SP-200,TechSound SP-200 Home Speaker,Speakers,130,129.99,16898.70,0.00,350.00,0.00,0.00,16548.70,USD,
CTR-TSD-2025,TSD-TXN-033,2025-08-27,Summit Distribution LLC,United States,National Distributor,TS-AC-10,TechSound Premium Cable Pack (3-pack),Accessories,250,19.99,4997.50,0.00,85.00,0.00,0.00,4912.50,USD,Accessories bundle fill
CTR-TSD-2025,TSD-TXN-034,2025-09-04,Summit Distribution LLC,United States,National Distributor,TS-HD-PRO80,TechSound HD-Pro 80 Over-Ear Headphones,Headphones,200,89.99,17998.00,0.00,380.00,0.00,300.00,17318.00,USD,Fall season open stock
CTR-TSD-2025,TSD-TXN-035,2025-09-11,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,65,199.99,12999.35,500.00,350.00,0.00,250.00,11899.35,USD,Returns: 3 units; price protection credit
CTR-TSD-2025,TSD-TXN-036,2025-09-18,Summit Distribution LLC,United States,National Distributor,TS-SP-500,TechSound SP-500 Studio Monitor Speaker,Speakers,100,249.99,24999.00,0.00,500.00,0.00,400.00,24099.00,USD,Retail chain placement discount
CTR-TSD-2025,TSD-TXN-037,2025-09-25,Summit Distribution LLC,United States,National Distributor,TS-HAB-100,TechSound Home Audio Bundle (SB-200 + SP-100),Bundles,60,199.99,11999.40,0.00,480.00,0.00,300.00,11219.40,USD,Fall bundle program
CTR-TSD-2025,TSD-TXN-038,2025-10-02,Summit Distribution LLC,United States,National Distributor,TS-HD-EL200,TechSound HD-Elite 200 Noise-Canceling Headphones,Headphones,180,149.99,26998.20,700.00,550.00,0.00,450.00,25298.20,USD,Holiday pre-buy; returns and MDF
CTR-TSD-2025,TSD-TXN-039,2025-10-09,Summit Distribution LLC,United States,National Distributor,TS-SB-650,TechSound SB-650 3.1 Dolby Atmos Soundbar,Soundbars,60,349.99,20999.40,0.00,550.00,0.00,0.00,20449.40,USD,Holiday floor-set order
CTR-TSD-2025,TSD-TXN-040,2025-10-16,Summit Distribution LLC,United States,National Distributor,TS-SP-500,TechSound SP-500 Studio Monitor Speaker,Speakers,80,249.99,19999.20,0.00,420.00,0.00,0.00,19579.20,USD,
CTR-TSD-2025,TSD-TXN-041,2025-10-23,Summit Distribution LLC,United States,National Distributor,TS-CC-50,TechSound Carrying Case,Accessories,300,29.99,8997.00,0.00,150.00,0.00,0.00,8847.00,USD,Accessory holiday sets
CTR-TSD-2025,TSD-TXN-042,2025-11-05,Summit Distribution LLC,United States,National Distributor,TS-HD-EL200,TechSound HD-Elite 200 Noise-Canceling Headphones,Headphones,220,149.99,32997.80,800.00,620.00,0.00,600.00,30977.80,USD,Black Friday pre-stock; returns and MDF
CTR-TSD-2025,TSD-TXN-043,2025-11-12,Summit Distribution LLC,United States,National Distributor,TS-SB-650,TechSound SB-650 3.1 Dolby Atmos Soundbar,Soundbars,70,349.99,24499.30,600.00,600.00,0.00,0.00,23299.30,USD,Black Friday order; returns adjustment
CTR-TSD-2025,TSD-TXN-044,2025-11-19,Summit Distribution LLC,United States,National Distributor,TS-SP-500,TechSound SP-500 Studio Monitor Speaker,Speakers,100,249.99,24999.00,0.00,500.00,0.00,400.00,24099.00,USD,Cyber Week inventory build
CTR-TSD-2025,TSD-TXN-045,2025-11-26,Summit Distribution LLC,United States,National Distributor,TS-HD-PRO80,TechSound HD-Pro 80 Over-Ear Headphones,Headphones,150,89.99,13498.50,0.00,300.00,0.00,0.00,13198.50,USD,Post-Thanksgiving replenishment
CTR-TSD-2025,TSD-TXN-046,2025-12-03,Summit Distribution LLC,United States,National Distributor,TS-HD-060,TechSound HD-60 Wireless Headphones,Headphones,200,79.99,15998.00,0.00,340.00,0.00,0.00,15658.00,USD,Christmas gift season
CTR-TSD-2025,TSD-TXN-047,2025-12-10,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,80,199.99,15999.20,400.00,380.00,0.00,0.00,15219.20,USD,Returns: 2 units holiday season
CTR-TSD-2025,TSD-TXN-048,2025-12-17,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Bluetooth Speaker,Speakers,100,79.99,7999.00,0.00,180.00,0.00,0.00,7819.00,USD,Last-mile holiday fill
CTR-TSD-2025,TSD-TXN-049,2025-12-22,Summit Distribution LLC,United States,National Distributor,TS-STR-50,TechSound Starter Bundle (HD-60 + Cable Pack),Bundles,50,89.99,4499.50,0.00,100.00,0.00,0.00,4399.50,USD,Year-end closeout bundle
