transaction_date,invoice_number,customer_name,customer_code,product_name,product_code,product_category,quantity,unit_price,total_amount,territory,sales_channel,business_unit,currency
2026-01-05,INV-20001,Charlie's Produce,CUST-CP01,Russet Potatoes 50lb,POT-50-RUS,Potatoes,120,18.50,2220.00,US West,Wholesale,Produce Division,USD
2026-01-07,INV-20002,Charlie's Produce,CUST-CP01,Yellow Onions 50lb,ONI-50-YLW,Onions,85,16.00,1360.00,US West,Wholesale,Produce Division,USD
2026-01-09,INV-20003,Charlie's Produce,CUST-CP01,Red Potatoes 50lb,POT-50-RED,Potatoes,60,22.00,1320.00,North America,Direct,Produce Division,USD
2026-01-10,INV-20004,Charlie's Produce,CUST-CP01,4350-20 Box Potatoes,4350-20,Potatoes,45,15.00,675.00,US West,Wholesale,Produce Division,USD
2026-01-12,INV-20005,Charlie's Produce,CUST-CP01,Red Onions 50lb,ONI-50-RED,Onions,70,20.00,1400.00,US East,Wholesale,Produce Division,USD
2026-01-14,INV-20006,Charlie's Produce,CUST-CP01,Apples Case,FRT-CS-APP,Fruits,90,28.00,2520.00,US West,Direct,Produce Division,USD
2026-01-15,INV-20007,Charlie's Produce,CUST-CP01,Lettuce Case,GEN-CS-LET,General,110,18.00,1980.00,US Central,Wholesale,Produce Division,USD
2026-01-17,INV-20008,Charlie's Produce,CUST-CP01,Yellow Potatoes 50lb,POT-50-YLW,Potatoes,55,24.50,1347.50,Canada,Wholesale,Produce Division,USD
2026-01-19,INV-20009,Charlie's Produce,CUST-CP01,White Onions 50lb,ONI-50-WHT,Onions,40,18.50,740.00,US West,Direct,Produce Division,USD
2026-01-20,INV-20010,Charlie's Produce,CUST-CP01,Tomatoes Case,GEN-CS-TOM,General,95,25.00,2375.00,North America,Wholesale,Produce Division,USD
2026-01-22,INV-20011,Charlie's Produce,CUST-CP01,Fingerling Potatoes 50lb,POT-50-FNG,Potatoes,30,32.00,960.00,US West,Wholesale,Produce Division,USD
2026-01-23,INV-20012,Charlie's Produce,CUST-CP01,Sweet Onions 50lb,ONI-50-SWT,Onions,65,22.00,1430.00,US East,Direct,Produce Division,USD
2026-01-25,INV-20013,Charlie's Produce,CUST-CP01,Carrots Case,GEN-CS-CAR,General,130,14.00,1820.00,US Central,Wholesale,Produce Division,USD
2026-01-27,INV-20014,Charlie's Produce,CUST-CP01,Bell Peppers Case,GEN-CS-PEP,General,50,30.00,1500.00,US West,Direct,Produce Division,USD
2026-01-28,INV-20015,Charlie's Produce,CUST-CP01,Russet Potatoes 50lb,POT-50-RUS,Potatoes,140,18.50,2590.00,North America,Wholesale,Produce Division,USD
2026-01-29,INV-20016,Charlie's Produce,CUST-CP01,Bananas Case,FRT-CS-BAN,Fruits,75,22.00,1650.00,US West,Online,Produce Division,USD
2026-01-30,INV-20017,Charlie's Produce,CUST-CP01,4350-20 Box Potatoes,4350-20,Potatoes,35,15.00,525.00,US East,Wholesale,Produce Division,USD
2026-01-31,INV-20018,Charlie's Produce,CUST-CP01,Yellow Onions 50lb,ONI-50-YLW,Onions,95,16.00,1520.00,US Central,Wholesale,Produce Division,USD
