contract_id,transaction_id,transaction_date,partner_name,territory,channel,product_id,product_name,product_category,quantity,unit_price,gross_invoice_amount,returns_credits,freight_shipping,sales_tax,promotional_discounts_mdf,qualifying_net_sales,currency,notes
CTR-TSD-2025,TSD-TXN-0001,2025-03-19,Summit Distribution LLC,United States,National Distributor,TS-EB-150,TechSound EB-150 Pro Earbuds,Earbuds,220,104.60,23012.00,92.70,437.46,0.00,123.81,22358.03,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0002,2025-02-02,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Speaker,Speakers,187,73.05,13660.35,0.00,302.98,0.00,67.42,13289.95,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0003,2025-01-31,Summit Distribution LLC,United States,National Distributor,TS-SP-100,TechSound SP-100 Portable Speaker,Speakers,193,66.24,12784.32,0.00,242.71,0.00,36.74,12504.87,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0004,2025-03-21,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,29,152.44,4420.76,0.00,79.93,0.00,14.04,4326.79,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0005,2025-02-21,Summit Distribution LLC,United States,National Distributor,TS-SB-200,TechSound SB-200 Soundbar,Soundbars,190,117.96,22412.40,0.00,383.93,0.00,127.51,21900.96,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0006,2025-01-02,Summit Distribution LLC,United States,National Distributor,TS-SB-350,TechSound SB-350 2.1 Soundbar with Sub,Soundbars,92,144.12,13259.04,74.74,251.34,0.00,68.72,12864.24,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0007,2025-03-29,Summit Distribution LLC,United States,National Distributor,TS-SP-300,TechSound SP-300 Home Speaker,Speakers,33,194.10,6405.30,7.73,79.74,0.00,17.38,6300.45,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0008,2025-01-24,Summit Distribution LLC,United States,National Distributor,TS-SB-200,TechSound SB-200 Soundbar,Soundbars,128,121.44,15544.32,0.00,220.14,0.00,196.76,15127.42,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0009,2025-03-31,Summit Distribution LLC,United States,National Distributor,TS-EB-050,TechSound EB-50 Wireless Earbuds,Earbuds,66,47.29,3121.14,0.00,40.86,0.00,1.50,3078.78,USD,Q1 orders
CTR-TSD-2025,TSD-TXN-0010,2025-03-23,Summit Distribution LLC,United States,National Distributor,TS-SB-500,TechSound SB-500 Theater Soundbar,Soundbars,17,321.53,5466.01,0.00,115.74,0.00,63.50,5286.77,USD,Q1 orders
